,value,group
177,1.0,"XGB
Treinamento"
178,1.0,"XGB
Treinamento"
179,1.0,"XGB
Treinamento"
180,1.0,"XGB
Treinamento"
181,1.0,"XGB
Treinamento"
182,1.0,"XGB
Treinamento"
183,1.0,"XGB
Treinamento"
184,1.0,"XGB
Treinamento"
185,1.0,"XGB
Treinamento"
186,1.0,"XGB
Treinamento"
187,1.0,"XGB
Treinamento"
188,1.0,"XGB
Treinamento"
189,1.0,"XGB
Treinamento"
190,1.0,"XGB
Treinamento"
191,1.0,"XGB
Treinamento"
192,1.0,"XGB
Treinamento"
193,1.0,"XGB
Treinamento"
194,1.0,"XGB
Treinamento"
195,1.0,"XGB
Treinamento"
196,1.0,"XGB
Treinamento"
197,1.0,"XGB
Treinamento"
198,1.0,"XGB
Treinamento"
199,1.0,"XGB
Treinamento"
200,0.99609375,"XGB
Teste"
201,0.99609375,"XGB
Teste"
202,0.9921875,"XGB
Teste"
203,0.9921875,"XGB
Teste"
204,0.98046875,"XGB
Teste"
205,1.0,"XGB
Teste"
206,0.98046875,"XGB
Teste"
207,0.98828125,"XGB
Teste"
208,0.98828125,"XGB
Teste"
209,0.984375,"XGB
Teste"
210,0.984375,"XGB
Teste"
211,0.984375,"XGB
Teste"
212,0.98046875,"XGB
Teste"
213,0.98828125,"XGB
Teste"
214,0.9921875,"XGB
Teste"
215,0.984375,"XGB
Teste"
216,0.98046875,"XGB
Teste"
217,0.98828125,"XGB
Teste"
218,0.9921875,"XGB
Teste"
219,1.0,"XGB
Teste"
220,0.98828125,"XGB
Teste"
221,0.96875,"XGB
Teste"
222,0.99609375,"XGB
Teste"
223,0.98828125,"XGB
Teste"
224,0.98046875,"XGB
Teste"
225,0.98828125,"XGB
Teste"
226,0.98828125,"XGB
Teste"
227,0.98828125,"XGB
Teste"
228,0.9921875,"XGB
Teste"
229,0.98828125,"XGB
Teste"
230,0.984375,"XGB
Teste"
231,0.99609375,"XGB
Teste"
232,0.98828125,"XGB
Teste"
233,0.98046875,"XGB
Teste"
234,0.9921875,"XGB
Teste"
235,1.0,"XGB
Teste"
236,0.984375,"XGB
Teste"
237,0.98828125,"XGB
Teste"
238,0.984375,"XGB
Teste"
239,0.99609375,"XGB
Teste"
240,0.98828125,"XGB
Teste"
241,0.984375,"XGB
Teste"
242,0.98046875,"XGB
Teste"
243,0.984375,"XGB
Teste"
244,0.99609375,"XGB
Teste"
245,1.0,"XGB
Teste"
