,value,group
187,1.0,"RF
Treinamento"
188,1.0,"RF
Treinamento"
189,1.0,"RF
Treinamento"
190,1.0,"RF
Treinamento"
191,1.0,"RF
Treinamento"
192,1.0,"RF
Treinamento"
193,1.0,"RF
Treinamento"
194,1.0,"RF
Treinamento"
195,1.0,"RF
Treinamento"
196,1.0,"RF
Treinamento"
197,1.0,"RF
Treinamento"
198,1.0,"RF
Treinamento"
199,1.0,"RF
Treinamento"
200,0.9968051118210862,"RF
Teste"
201,0.9840255591054313,"RF
Teste"
202,0.987220447284345,"RF
Teste"
203,0.9776357827476039,"RF
Teste"
204,0.987220447284345,"RF
Teste"
205,0.9904153354632588,"RF
Teste"
206,0.9904153354632588,"RF
Teste"
207,0.9904153354632588,"RF
Teste"
208,0.9840255591054313,"RF
Teste"
209,0.9840255591054313,"RF
Teste"
210,0.9936102236421726,"RF
Teste"
211,0.9808306709265175,"RF
Teste"
212,0.9808306709265175,"RF
Teste"
213,0.9904153354632588,"RF
Teste"
214,0.9936102236421726,"RF
Teste"
215,0.9744408945686901,"RF
Teste"
216,0.9936102236421726,"RF
Teste"
217,0.9904153354632588,"RF
Teste"
218,0.987220447284345,"RF
Teste"
219,0.9936102236421726,"RF
Teste"
220,0.9808306709265175,"RF
Teste"
221,0.9936102236421726,"RF
Teste"
222,0.9968051118210862,"RF
Teste"
223,0.9776357827476039,"RF
Teste"
224,0.987220447284345,"RF
Teste"
225,0.9648562300319489,"RF
Teste"
226,0.9840255591054313,"RF
Teste"
227,0.9840255591054313,"RF
Teste"
228,0.9904153354632588,"RF
Teste"
229,0.9904153354632588,"RF
Teste"
230,0.9904153354632588,"RF
Teste"
231,0.987220447284345,"RF
Teste"
232,0.9936102236421726,"RF
Teste"
233,0.9840255591054313,"RF
Teste"
234,0.9936102236421726,"RF
Teste"
235,0.9904153354632588,"RF
Teste"
236,0.9904153354632588,"RF
Teste"
237,0.9968051118210862,"RF
Teste"
238,0.9936102236421726,"RF
Teste"
239,0.9840255591054313,"RF
Teste"
240,0.987220447284345,"RF
Teste"
241,0.987220447284345,"RF
Teste"
242,0.987220447284345,"RF
Teste"
243,0.9808306709265175,"RF
Teste"
244,0.9840255591054313,"RF
Teste"
245,0.987220447284345,"RF
Teste"
246,0.9840255591054313,"RF
Teste"
247,0.9904153354632588,"RF
Teste"
248,0.9776357827476039,"RF
Teste"
249,0.9840255591054313,"RF
Teste"
250,0.9840255591054313,"RF
Teste"
251,0.9936102236421726,"RF
Teste"
