,Noise Level,Classifier,IndexRep,Accuracy
0,0.0,Random Forest,0,0.99609375
1,0.0,SVM (RBF),0,0.96875
2,0.0,XGBoost,0,0.98828125
3,0.0,MLP,0,0.86328125
4,0.0,Random Forest,1,0.9921875
5,0.0,SVM (RBF),1,0.96484375
6,0.0,XGBoost,1,0.984375
7,0.0,MLP,1,0.875
8,0.0,Random Forest,2,0.97265625
9,0.0,SVM (RBF),2,0.97265625
10,0.0,XGBoost,2,0.953125
11,0.0,MLP,2,0.8359375
12,0.0,Random Forest,3,0.9921875
13,0.0,SVM (RBF),3,0.98828125
14,0.0,XGBoost,3,0.98046875
15,0.0,MLP,3,0.89453125
16,0.0,Random Forest,4,0.97265625
17,0.0,SVM (RBF),4,0.95703125
18,0.0,XGBoost,4,0.97265625
19,0.0,MLP,4,0.84765625
20,0.0,Random Forest,5,0.98828125
21,0.0,SVM (RBF),5,0.97265625
22,0.0,XGBoost,5,0.9765625
23,0.0,MLP,5,0.8203125
24,0.0,Random Forest,6,0.9921875
25,0.0,SVM (RBF),6,0.9609375
26,0.0,XGBoost,6,0.98828125
27,0.0,MLP,6,0.87890625
28,0.0,Random Forest,7,0.98046875
29,0.0,SVM (RBF),7,0.95703125
30,0.0,XGBoost,7,0.96875
31,0.0,MLP,7,0.8828125
32,0.0,Random Forest,8,0.98046875
33,0.0,SVM (RBF),8,0.95703125
34,0.0,XGBoost,8,0.9765625
35,0.0,MLP,8,0.89453125
36,0.0,Random Forest,9,0.9765625
37,0.0,SVM (RBF),9,0.96484375
38,0.0,XGBoost,9,0.94921875
39,0.0,MLP,9,0.88671875
40,0.0,Random Forest,0,0.98828125
41,0.0,SVM (RBF),0,0.95703125
42,0.0,XGBoost,0,0.984375
43,0.0,MLP,0,0.8671875
44,0.0,Random Forest,1,0.9921875
45,0.0,SVM (RBF),1,0.94140625
46,0.0,XGBoost,1,0.9765625
47,0.0,MLP,1,0.8515625
48,0.0,Random Forest,2,0.984375
49,0.0,SVM (RBF),2,0.9765625
50,0.0,XGBoost,2,0.984375
51,0.0,MLP,2,0.87890625
52,0.0,Random Forest,3,0.9921875
53,0.0,SVM (RBF),3,0.98046875
54,0.0,XGBoost,3,0.9921875
55,0.0,MLP,3,0.83203125
56,0.0,Random Forest,4,0.9765625
57,0.0,SVM (RBF),4,0.9453125
58,0.0,XGBoost,4,0.96875
59,0.0,MLP,4,0.8515625
60,0.0,Random Forest,5,0.9765625
61,0.0,SVM (RBF),5,0.9375
62,0.0,XGBoost,5,0.96875
63,0.0,MLP,5,0.88671875
64,0.0,Random Forest,6,0.98828125
65,0.0,SVM (RBF),6,0.96875
66,0.0,XGBoost,6,0.984375
67,0.0,MLP,6,0.87109375
68,0.0,Random Forest,7,0.984375
69,0.0,SVM (RBF),7,0.9609375
70,0.0,XGBoost,7,0.9765625
71,0.0,MLP,7,0.8828125
72,0.0,Random Forest,8,0.98828125
73,0.0,SVM (RBF),8,0.9609375
74,0.0,XGBoost,8,0.9921875
75,0.0,MLP,8,0.88671875
76,0.0,Random Forest,9,0.96875
77,0.0,SVM (RBF),9,0.93359375
78,0.0,XGBoost,9,0.9609375
79,0.0,MLP,9,0.7578125
80,0.005,Random Forest,0,0.99609375
81,0.005,SVM (RBF),0,0.9609375
82,0.005,XGBoost,0,0.97265625
83,0.005,MLP,0,0.83984375
84,0.005,Random Forest,1,0.98828125
85,0.005,SVM (RBF),1,0.9609375
86,0.005,XGBoost,1,0.9765625
87,0.005,MLP,1,0.88671875
88,0.005,Random Forest,2,0.984375
89,0.005,SVM (RBF),2,0.94921875
90,0.005,XGBoost,2,0.97265625
91,0.005,MLP,2,0.84765625
92,0.005,Random Forest,3,0.98828125
93,0.005,SVM (RBF),3,0.9609375
94,0.005,XGBoost,3,0.94921875
95,0.005,MLP,3,0.87890625
96,0.005,Random Forest,4,0.99609375
97,0.005,SVM (RBF),4,0.97265625
98,0.005,XGBoost,4,0.98046875
99,0.005,MLP,4,0.890625
100,0.005,Random Forest,5,0.98046875
101,0.005,SVM (RBF),5,0.96484375
102,0.005,XGBoost,5,0.96484375
103,0.005,MLP,5,0.8828125
104,0.005,Random Forest,6,0.9921875
105,0.005,SVM (RBF),6,0.96875
106,0.005,XGBoost,6,0.9609375
107,0.005,MLP,6,0.875
108,0.005,Random Forest,7,0.98828125
109,0.005,SVM (RBF),7,0.9765625
110,0.005,XGBoost,7,0.97265625
111,0.005,MLP,7,0.87890625
112,0.005,Random Forest,8,0.9765625
113,0.005,SVM (RBF),8,0.97265625
114,0.005,XGBoost,8,0.9765625
115,0.005,MLP,8,0.8828125
116,0.005,Random Forest,9,0.984375
117,0.005,SVM (RBF),9,0.96484375
118,0.005,XGBoost,9,0.96875
119,0.005,MLP,9,0.74609375
120,0.0101,Random Forest,0,0.9765625
121,0.0101,SVM (RBF),0,0.9609375
122,0.0101,XGBoost,0,0.98046875
123,0.0101,MLP,0,0.87890625
124,0.0101,Random Forest,1,0.9609375
125,0.0101,SVM (RBF),1,0.953125
126,0.0101,XGBoost,1,0.94140625
127,0.0101,MLP,1,0.87109375
128,0.0101,Random Forest,2,0.9765625
129,0.0101,SVM (RBF),2,0.9453125
130,0.0101,XGBoost,2,0.96484375
131,0.0101,MLP,2,0.8671875
132,0.0101,Random Forest,3,0.984375
133,0.0101,SVM (RBF),3,0.9609375
134,0.0101,XGBoost,3,0.9609375
135,0.0101,MLP,3,0.81640625
136,0.0101,Random Forest,4,0.97265625
137,0.0101,SVM (RBF),4,0.96875
138,0.0101,XGBoost,4,0.96875
139,0.0101,MLP,4,0.859375
140,0.0101,Random Forest,5,0.98828125
141,0.0101,SVM (RBF),5,0.97265625
142,0.0101,XGBoost,5,0.953125
143,0.0101,MLP,5,0.83203125
144,0.0101,Random Forest,6,0.96484375
145,0.0101,SVM (RBF),6,0.95703125
146,0.0101,XGBoost,6,0.95703125
147,0.0101,MLP,6,0.859375
148,0.0101,Random Forest,7,0.984375
149,0.0101,SVM (RBF),7,0.9609375
150,0.0101,XGBoost,7,0.9921875
151,0.0101,MLP,7,0.79296875
152,0.0101,Random Forest,8,0.98828125
153,0.0101,SVM (RBF),8,0.96875
154,0.0101,XGBoost,8,0.98046875
155,0.0101,MLP,8,0.8515625
156,0.0101,Random Forest,9,0.984375
157,0.0101,SVM (RBF),9,0.98046875
158,0.0101,XGBoost,9,0.96875
159,0.0101,MLP,9,0.89453125
160,0.0151,Random Forest,0,0.98828125
161,0.0151,SVM (RBF),0,0.9453125
162,0.0151,XGBoost,0,0.96875
163,0.0151,MLP,0,0.86328125
164,0.0151,Random Forest,1,0.9921875
165,0.0151,SVM (RBF),1,0.95703125
166,0.0151,XGBoost,1,0.96484375
167,0.0151,MLP,1,0.87109375
168,0.0151,Random Forest,2,0.984375
169,0.0151,SVM (RBF),2,0.96484375
170,0.0151,XGBoost,2,0.96875
171,0.0151,MLP,2,0.73828125
172,0.0151,Random Forest,3,0.98046875
173,0.0151,SVM (RBF),3,0.94140625
174,0.0151,XGBoost,3,0.9609375
