,Noise Level,Classifier,IndexRep,Accuracy
136,0.131,Random Forest,4,0.984375
137,0.131,SVM (RBF),4,0.921875
138,0.131,XGBoost,4,0.89453125
139,0.131,MLP,4,0.76953125
140,0.131,Random Forest,5,0.984375
141,0.131,SVM (RBF),5,0.921875
142,0.131,XGBoost,5,0.9140625
143,0.131,MLP,5,0.734375
144,0.131,Random Forest,6,0.984375
145,0.131,SVM (RBF),6,0.921875
146,0.131,XGBoost,6,0.90625
147,0.131,MLP,6,0.80078125
148,0.131,Random Forest,7,0.98046875
149,0.131,SVM (RBF),7,0.9296875
150,0.131,XGBoost,7,0.8984375
151,0.131,MLP,7,0.7421875
152,0.131,Random Forest,8,0.96875
153,0.131,SVM (RBF),8,0.91015625
154,0.131,XGBoost,8,0.91015625
155,0.131,MLP,8,0.8046875
156,0.131,Random Forest,9,0.9765625
157,0.131,SVM (RBF),9,0.953125
158,0.131,XGBoost,9,0.90625
159,0.131,MLP,9,0.83984375
160,0.1763,Random Forest,0,0.98046875
161,0.1763,SVM (RBF),0,0.93359375
162,0.1763,XGBoost,0,0.90625
163,0.1763,MLP,0,0.57421875
164,0.1763,Random Forest,1,0.97265625
165,0.1763,SVM (RBF),1,0.93359375
166,0.1763,XGBoost,1,0.90234375
167,0.1763,MLP,1,0.78515625
168,0.1763,Random Forest,2,0.99609375
169,0.1763,SVM (RBF),2,0.94921875
170,0.1763,XGBoost,2,0.90625
171,0.1763,MLP,2,0.796875
172,0.1763,Random Forest,3,0.984375
173,0.1763,SVM (RBF),3,0.9296875
174,0.1763,XGBoost,3,0.9375
175,0.1763,MLP,3,0.78515625
176,0.1763,Random Forest,4,0.9609375
177,0.1763,SVM (RBF),4,0.9140625
178,0.1763,XGBoost,4,0.87890625
179,0.1763,MLP,4,0.55859375
180,0.1763,Random Forest,5,0.96875
181,0.1763,SVM (RBF),5,0.890625
182,0.1763,XGBoost,5,0.875
183,0.1763,MLP,5,0.76171875
184,0.1763,Random Forest,6,0.97265625
185,0.1763,SVM (RBF),6,0.91015625
186,0.1763,XGBoost,6,0.89453125
187,0.1763,MLP,6,0.76171875
188,0.1763,Random Forest,7,0.9765625
189,0.1763,SVM (RBF),7,0.87109375
190,0.1763,XGBoost,7,0.88671875
191,0.1763,MLP,7,0.75
192,0.1763,Random Forest,8,0.984375
193,0.1763,SVM (RBF),8,0.87890625
194,0.1763,XGBoost,8,0.8828125
195,0.1763,MLP,8,0.77734375
196,0.1763,Random Forest,9,0.96484375
197,0.1763,SVM (RBF),9,0.890625
198,0.1763,XGBoost,9,0.875
199,0.1763,MLP,9,0.80078125
200,0.2217,Random Forest,0,0.97265625
201,0.2217,SVM (RBF),0,0.8828125
202,0.2217,XGBoost,0,0.8828125
203,0.2217,MLP,0,0.68359375
204,0.2217,Random Forest,1,0.9765625
205,0.2217,SVM (RBF),1,0.875
206,0.2217,XGBoost,1,0.88671875
207,0.2217,MLP,1,0.76953125
208,0.2217,Random Forest,2,0.96484375
209,0.2217,SVM (RBF),2,0.90625
210,0.2217,XGBoost,2,0.88671875
211,0.2217,MLP,2,0.77734375
212,0.2217,Random Forest,3,0.96875
213,0.2217,SVM (RBF),3,0.9140625
214,0.2217,XGBoost,3,0.9453125
215,0.2217,MLP,3,0.72265625
216,0.2217,Random Forest,4,0.96875
217,0.2217,SVM (RBF),4,0.9375
218,0.2217,XGBoost,4,0.890625
219,0.2217,MLP,4,0.59375
220,0.2217,Random Forest,5,0.98828125
221,0.2217,SVM (RBF),5,0.9140625
222,0.2217,XGBoost,5,0.90234375
223,0.2217,MLP,5,0.59375
224,0.2217,Random Forest,6,0.984375
225,0.2217,SVM (RBF),6,0.9140625
226,0.2217,XGBoost,6,0.84375
227,0.2217,MLP,6,0.80078125
228,0.2217,Random Forest,7,0.9765625
229,0.2217,SVM (RBF),7,0.91796875
230,0.2217,XGBoost,7,0.8671875
231,0.2217,MLP,7,0.703125
232,0.2217,Random Forest,8,0.96875
233,0.2217,SVM (RBF),8,0.9296875
234,0.2217,XGBoost,8,0.875
235,0.2217,MLP,8,0.6875
236,0.2217,Random Forest,9,0.96875
237,0.2217,SVM (RBF),9,0.87109375
238,0.2217,XGBoost,9,0.89453125
239,0.2217,MLP,9,0.59375
240,0.267,Random Forest,0,0.98046875
241,0.267,SVM (RBF),0,0.890625
242,0.267,XGBoost,0,0.87109375
243,0.267,MLP,0,0.62890625
244,0.267,Random Forest,1,0.98828125
245,0.267,SVM (RBF),1,0.890625
246,0.267,XGBoost,1,0.94921875
247,0.267,MLP,1,0.76171875
248,0.267,Random Forest,2,0.96484375
249,0.267,SVM (RBF),2,0.8984375
250,0.267,XGBoost,2,0.9140625
251,0.267,MLP,2,0.69921875
252,0.267,Random Forest,3,0.98046875
253,0.267,SVM (RBF),3,0.88671875
254,0.267,XGBoost,3,0.921875
255,0.267,MLP,3,0.73828125
256,0.267,Random Forest,4,0.9921875
257,0.267,SVM (RBF),4,0.88671875
258,0.267,XGBoost,4,0.890625
259,0.267,MLP,4,0.72265625
260,0.267,Random Forest,5,0.984375
261,0.267,SVM (RBF),5,0.91015625
262,0.267,XGBoost,5,0.86328125
263,0.267,MLP,5,0.76171875
264,0.267,Random Forest,6,0.97265625
265,0.267,SVM (RBF),6,0.90625
266,0.267,XGBoost,6,0.8984375
267,0.267,MLP,6,0.73828125
268,0.267,Random Forest,7,0.96484375
269,0.267,SVM (RBF),7,0.89453125
270,0.267,XGBoost,7,0.90625
271,0.267,MLP,7,0.7265625
272,0.267,Random Forest,8,0.96484375
273,0.267,SVM (RBF),8,0.89453125
274,0.267,XGBoost,8,0.8828125
275,0.267,MLP,8,0.734375
276,0.267,Random Forest,9,0.9375
277,0.267,SVM (RBF),9,0.91015625
278,0.267,XGBoost,9,0.90234375
279,0.267,MLP,9,0.74609375
280,0.3123,Random Forest,0,0.94140625
281,0.3123,SVM (RBF),0,0.84765625
282,0.3123,XGBoost,0,0.92578125
283,0.3123,MLP,0,0.6640625
284,0.3123,Random Forest,1,0.94140625
285,0.3123,SVM (RBF),1,0.85546875
286,0.3123,XGBoost,1,0.88671875
287,0.3123,MLP,1,0.69140625
288,0.3123,Random Forest,2,0.9609375
289,0.3123,SVM (RBF),2,0.87109375
290,0.3123,XGBoost,2,0.90234375
291,0.3123,MLP,2,0.6953125
292,0.3123,Random Forest,3,0.96484375
293,0.3123,SVM (RBF),3,0.86328125
294,0.3123,XGBoost,3,0.87890625
295,0.3123,MLP,3,0.671875
296,0.3123,Random Forest,4,0.95703125
297,0.3123,SVM (RBF),4,0.87109375
298,0.3123,XGBoost,4,0.87890625
299,0.3123,MLP,4,0.6640625
300,0.3123,Random Forest,5,0.984375
301,0.3123,SVM (RBF),5,0.8828125
302,0.3123,XGBoost,5,0.9140625
303,0.3123,MLP,5,0.66796875
304,0.3123,Random Forest,6,0.953125
305,0.3123,SVM (RBF),6,0.85546875
306,0.3123,XGBoost,6,0.8828125
307,0.3123,MLP,6,0.6640625
308,0.3123,Random Forest,7,0.96484375
309,0.3123,SVM (RBF),7,0.8671875
310,0.3123,XGBoost,7,0.8984375
311,0.3123,MLP,7,0.6640625
312,0.3123,Random Forest,8,0.94140625
313,0.3123,SVM (RBF),8,0.890625
314,0.3123,XGBoost,8,0.875
315,0.3123,MLP,8,0.6640625
316,0.3123,Random Forest,9,0.96875
317,0.3123,SVM (RBF),9,0.86328125
318,0.3123,XGBoost,9,0.89453125
319,0.3123,MLP,9,0.73046875
320,0.3577,Random Forest,0,0.95703125
